Year,Population
1969,311910524
1970,265243088
1971,308854340
1972,245840122
1973,265988933
1974,293738995
1975,321148221
1976,327502088
1977,217462056
1978,204946506
1979,317173901
1980,297698499
1981,257260903
1982,287489831
1983,269582291
1984,258182128
1985,289411585
1986,225691627
1987,265869988
1988,258533323
1989,285436587
1990,253958216
1991,222538360
1992,273548903
1993,292928718
1994,224701351
1995,275726886
1996,211206037
1997,220798833
1998,284749526
1999,323951786
2000,301255114
2001,329894370
2002,205243254
2003,289054972
2004,329348407
2005,240444225
2006,225499846
2007,315390726
2008,206671789
2009,202133495
2010,329237779
2011,236598986
2012,240400850
